"Country","Health expenditure Current % of GDP 2016","Health expenditure Public % of current 2016","Health expenditure Out of pocket % of current 2016","Health expenditure per capita $ 2016","Health expenditure per capita current PPP $ 2016","External health expenditure (% of current health expenditure)   2016","Health workers Physicians per 1,000 people 2009-18","Health workers Nurses and midwives per 1,000 people 2009-18","Specialist surgical workforce  per 100,000 population 2008-18","Completeness of birth registration  % 2009-18","Completeness of death registration  % 2008-16"
"Ethiopia",4,27.6,37.4,27.5,69.5,15.3,0.1,0.8,0.5,2.7,NA
"Faroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fiji",3.5,63.9,20.6,179.9,313.2,3.1,0.8,2.9,5.4,NA,100
"Finland",9.5,77.4,20.4,NA,NA,0,3.8,14.7,76.3,100,100
"France",11.5,82.9,9.8,NA,NA,0,3.2,9.7,58.6,100,100
"French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,32.6,NA,NA
"Gabon",3.1,64.6,22.5,220.4,555.6,0.9,0.4,2.6,NA,89.6,NA
"Gambia, The",4.4,18.6,23.6,20.9,74.3,43.8,0.1,1.6,1.8,72,NA
"Georgia",8.4,36.6,55.6,308,797.2,2.3,5.1,4.1,130.4,100,98
"Germany",11.1,84.7,12.4,NA,NA,NA,4.2,13.2,108,100,100
"Ghana",4.4,38.4,37.8,67.5,189.4,12.8,0.2,1.2,NA,70.5,NA
"Greece",8.5,60.7,34.3,NA,NA,0.3,4.6,3.4,163.5,100,100
"Greenland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grenada",5.2,41.3,57.8,516.4,745.1,0.9,1.4,3.1,12.6,NA,100
"Guam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guatemala",5.8,37.2,53.3,241.4,462.4,0.9,0.4,0.9,3.4,96,92
"Guinea",5.5,12.3,49.8,37.5,107.7,27.2,0.1,0.4,NA,62,NA
"Guinea-Bissau",6.1,44.3,35.4,39.1,98,20.3,0.2,1.4,NA,24,NA
"Guyana",4.2,58.9,35.1,192.3,332.7,5.9,0.8,1.3,8.8,89,81
"Haiti",5.4,15.3,41.7,37.7,95.4,38.4,0.2,0.7,5.9,84.8,NA
"Honduras",8.4,45.9,45,199.6,400.3,3.1,0.3,0.9,13.7,93.6,17
"Hungary",7.4,65.9,29.7,942.6,NA,0,3.2,6.6,55.7,100,100
"Iceland",8.3,81.5,16.9,NA,NA,0,4,15.7,101.6,100,100
"India",3.7,25.4,64.6,62.7,241.5,1,0.8,2.1,6.8,79.7,NA
"Indonesia",3.1,44.7,37.3,111.6,362.7,0.4,0.4,2.1,NA,72,NA
"Iran, Islamic Rep.",8.1,54.5,38.8,415.4,NA,0,1.1,1.9,5,99,NA
"Iraq",3.3,21.1,78.5,152.6,493.7,0.4,0.8,1.7,7.6,99,65
"Ireland",7.4,72.1,13,NA,NA,0,3.1,14.3,72,100,100
"Isle of Man",NA,NA,NA,NA,NA,NA,1.4,2.3,52.4,85.4,NA
"Israel",7.3,62.5,23,NA,NA,1.5,3.2,5.2,75.6,100,100
"Italy",8.9,74.5,23.1,NA,NA,NA,4.1,5.9,142.4,100,100
"Jamaica",6.1,60.6,22.4,296.2,535.7,1.2,1.3,1.1,11.2,98,NA
"Japan",10.9,83.6,13.5,NA,NA,0,2.4,11.5,37.4,100,100
"Jordan",5.5,63.2,28,223.5,494.8,5.7,2.3,3.4,24.5,98,65
"Kazakhstan",3.5,58.8,35.6,262,858.8,1.2,3.3,8.5,73.2,100,91
"Kenya",4.5,36.2,27.7,66.2,143.5,19.5,0.2,1.5,2.4,66.9,NA
"Kiribati",11.9,79.6,0.1,188,249.8,17,0.2,4.8,8.2,94,NA
"Korea, Dem. People’s Rep.",NA,NA,NA,NA,NA,NA,3.7,4.4,NA,100,NA
"Korea, Rep.",7.3,59.2,33.3,NA,NA,0,2.4,7,49.6,NA,99
"Kosovo",NA,NA,NA,NA,NA,NA,NA,NA,27.7,NA,NA
"Kuwait",3.9,83.9,16.1,NA,NA,0,2.6,7,NA,NA,95
"Kyrgyz Republic",6.6,39.1,57.6,72.9,240.2,3.3,1.9,6.4,50.1,98,96
"Lao PDR",2.4,32.4,46.4,55.2,154.6,18.1,0.5,1,3.7,73,NA
"Latvia",6.2,54.6,44.6,874.2,NA,0,3.2,4.8,67.6,100,100
"Lebanon",8,52.1,32.1,662.1,NA,0.8,2.3,2.6,87.4,100,NA
"Lesotho",8.1,63.8,18.9,85.5,242.7,17.3,0.1,0.7,0.6,43.3,NA
"Liberia",9.6,14.2,47.3,68.3,133.1,30.1,0,0.1,0.6,24.6,NA
"Libya",NA,NA,NA,NA,NA,NA,2.2,6.7,NA,NA,NA
"Liechtenstein",NA,NA,NA,NA,NA,NA,NA,NA,71.9,100,NA
"Lithuania",6.7,65.6,32.3,987.9,NA,1,4.3,7.9,130.9,100,100
"Luxembourg",6.2,81.2,11.2,NA,NA,1.2,3,12.3,80.8,100,100
"Madagascar",6,47.7,22.4,24.1,90.4,25.1,0.2,0.1,0.8,83,NA
"Malawi",9.8,28,11.4,29.6,115.2,53.8,0,0.3,0.4,67.2,NA
"Malaysia",3.8,50.5,37.6,361.5,NA,0,1.5,4.1,11.4,NA,56
"Maldives",10.6,72.6,19.1,NA,NA,0.5,1,4,4.8,98.8,84
"Mali",3.8,31.6,35.3,29.8,81.2,32.2,0.1,0.4,1.1,86.7,NA
"Malta",9.3,63.1,34.8,NA,NA,0,3.8,9,113.5,100,99.9
"Marshall Islands",23.3,52.6,9,851.3,934.4,35.4,0.5,3.5,15.9,84,NA
"Mauritania",4.2,36.7,50.9,46.8,163.9,8.2,0.2,1,NA,66,NA
"Mauritius",5.7,44.1,48.2,553.1,NA,0.2,2,3.4,17.6,NA,100
"Mexico",5.5,52.1,40.4,461.8,971.8,NA,2.2,2.9,NA,95,99
"Micronesia, Fed. Sts.",12.6,27.8,2.6,386.7,431.6,69.2,0.2,3.3,7,NA,NA
"Moldova",9,48.8,46.3,171.2,480.4,3.7,3.2,4.5,86.1,100,90
"Monaco",1.7,79.6,7.1,NA,NA,NA,6.6,20.3,195.6,100,80
"Mongolia",3.8,56.7,35.9,140.7,466.7,3.9,2.9,4,45,99,92
"Montenegro",7.6,75,24.1,531.7,NA,0.4,2.3,5.7,64.1,99,100
"Morocco",5.8,46.9,48.6,171.5,465.7,0.7,0.7,1.1,3.7,96,24.3
"Mozambique",5.1,53.3,7.7,19.2,61.6,38.1,0.1,0.4,0.5,55,NA
"Myanmar",5.1,20.1,74,62.1,291.1,5.9,0.9,1,2.4,81.3,NA
"Namibia",9.1,61.9,7.7,402.8,969.3,7,0.4,2.8,6.1,78,NA
"Nepal",6.3,18.6,55.4,45.5,156,11.7,0.7,2.7,3,56.2,NA
"Netherlands",10.4,81,11.5,NA,NA,0,3.5,11.1,49,100,100
"New Caledonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Zealand",9.2,78.7,13.6,NA,NA,0,3,11,43,100,100
"Nicaragua",8.7,61.3,32.2,188.2,484.5,4.6,1,1.6,15.5,85,68
"Niger",6.2,24.3,58.5,22.7,61.4,13,0.1,0.3,0.4,63.9,NA
"Nigeria",3.6,13,75.2,79.3,213.7,9.8,0.4,1.5,1.4,47,NA
"North Macedonia",6.3,63.6,35.4,327.8,934.6,0.7,2.9,3.8,61.2,100,100
"Northern Mariana Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Norway",10.5,85.1,14.5,NA,NA,0,4.6,18.1,67.2,100,100
"Oman",4.3,89.1,5.9,648.3,NA,0,2,4.3,30.5,100,87
"Pakistan",2.8,27.9,65.2,39.6,144.1,4.1,1,0.5,5.5,42.2,NA
"Palau",11.7,59.8,14.5,NA,NA,15.4,1.2,5.3,NA,NA,NA
"Panama",7.3,65.6,27.4,NA,NA,0.7,1.6,1.4,26.2,96,90
"Papua New Guinea",2,70,7.9,55.2,92.3,22.1,0.1,0.5,2.3,NA,NA
"Paraguay",8,51.6,37.9,327.2,767.8,0,1.4,1.2,20.5,69,81
"Peru",5.1,64.1,28.3,316.4,681,0.3,1.3,1.4,42.9,98,69
"Philippines",4.4,31.5,53.9,129.4,342.3,2.2,1.3,0.2,9.6,91.8,90
"Poland",6.5,69.7,22.9,809,NA,0.2,2.4,5.7,67.9,100,100
"Portugal",9.1,66.4,27.8,NA,NA,NA,3.3,6.4,86.1,100,100
"Puerto Rico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Qatar",3.1,81.6,8.6,NA,NA,0,0,6.6,14.5,100,77
"Romania",5,78.2,20.7,476.4,NA,0,2.3,6.1,60.5,NA,100
"Russian Federation",5.3,57,40.5,469.1,NA,NA,4,8.6,63.1,100,100
"Rwanda",6.8,33.9,6.4,48.1,130.4,50.6,0.1,0.8,0.8,56,NA
"Samoa",5.5,76.4,11.9,227.1,352.8,10.8,0.3,1.9,1.6,59,NA
"San Marino",6.4,80.4,18.8,NA,NA,NA,6.1,8.8,112.9,100,NA
"Sao Tome and Principe",6,39.9,14.4,105.1,196.9,44.6,0.3,2.3,NA,95,NA
"Saudi Arabia",5.7,67.8,14.3,NA,NA,0,2.4,5.7,NA,NA,51
"Senegal",5.5,34.6,51.8,52.6,141.7,6.2,0.1,0.3,1.1,77.4,NA
"Serbia",9.1,58,40.5,494.4,NA,0.1,3.1,6.1,86.7,99,90
"Seychelles",3.9,96,2.1,596.9,NA,1.9,0.9,3.3,48.6,NA,100
"Sierra Leone",16.5,11.2,41.6,86.3,244,41,0,1,0.1,81,NA
"Singapore",4.5,54.5,31.2,NA,NA,0,2.3,7.2,31.5,NA,74
"Sint Maarten (Dutch part)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovak Republic",7.1,79.8,17.8,NA,NA,0,2.5,9.2,53.9,100,100
"Slovenia",8.5,72.3,12,NA,NA,NA,3,9.7,66.7,100,100
"Solomon Islands",5.2,69.2,4.6,106.3,117.8,26.2,0.2,2.1,2.5,88,NA
"Somalia",NA,NA,NA,NA,NA,NA,0,0.1,0.2,NA,NA
"South Africa",8.1,53.7,7.8,428.2,NA,1.9,0.9,3.5,11.4,89,91
"South Sudan",NA,NA,NA,NA,NA,NA,NA,NA,0.3,35,NA
"Spain",9,71.2,23.8,NA,NA,NA,4.1,5.5,79.9,100,100
"Sri Lanka",3.9,43.1,50.1,153.1,491.5,1.1,1,2.1,2.8,NA,NA
"St. Kitts and Nevis",5.7,43.2,51.5,930.8,NA,0,2.5,4,33.5,NA,79
"St. Lucia",5.3,42,48.7,489.8,677.4,3.7,0.1,1.6,23.6,92,85
"St. Martin (French part)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"St. Vincent and the Grenadines",3.6,76.8,20.5,250.2,409.1,0.6,0.7,2.6,23.6,NA,100
"Sudan",5.7,19.5,73.9,152,297.9,2.2,0.4,0.8,2.7,67,NA
"Suriname",6.1,69.4,21.8,356.1,907.6,1.4,1.2,4.1,NA,99,100
"Sweden",10.9,83.5,15.2,NA,NA,NA,5.4,11.5,113.1,100,100
"Switzerland",12.2,62.8,29.6,NA,NA,NA,4.2,17.3,94.8,100,100
"Syrian Arab Republic",NA,NA,NA,NA,NA,NA,1.2,1.5,NA,NA,92
"Tajikistan",7,28.6,66.1,55.7,208.5,5.1,1.7,5.2,41.7,95.8,NA
"Tanzania",4.1,40.6,21.9,35.5,112,36.4,0,0.4,0.5,26.4,NA
"Thailand",3.7,78.1,12.1,221.9,635,0.2,0.8,3,13.1,100,NA
"Timor-Leste",4,55.8,8.9,79.9,121.7,31.6,0.7,1.7,0.9,60.4,NA
"Togo",6.6,20,50.4,38.8,99.9,20.7,0,0.3,0.5,78,NA
"Tonga",5.3,65.9,11,203.2,311.4,19.4,0.5,3.9,14,93,NA
"Trinidad and Tobago",6.5,52.8,40.1,NA,NA,0.1,2.7,3.5,30.9,97,85
"Tunisia",7,56.6,39.9,256.5,806.3,0.1,1.3,2.6,11.5,99,37
"Turkey",4.3,78.4,16.5,468.6,NA,NA,1.8,2.6,47.6,99,78
"Turkmenistan",6.6,18.5,76.2,422.8,NA,0.2,2.2,4.6,58.8,100,NA
"Turks and Caicos Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tuvalu",15.5,84.5,0.7,507.4,601,12.2,0.9,3.8,26.1,NA,NA
"Uganda",6.2,16.6,40.3,37.6,117.1,40.4,0.1,0.6,1.1,32.2,NA
"Ukraine",6.7,42.4,54.3,141.2,534.2,0.8,3,7.1,86.6,100,99
"United Arab Emirates",3.5,72.5,18.6,NA,NA,0,2.4,5.6,NA,100,87
"United Kingdom",9.8,80.2,15.1,NA,NA,0,2.8,8.3,133.3,100,100
"United States",17.1,81.8,11.1,NA,NA,0,2.6,8.6,54.7,100,98
"Uruguay",9.1,71.7,17.4,NA,NA,0,5,1.9,38.9,100,99
"Uzbekistan",6.3,46.1,52.2,135.1,416.9,1.2,2.4,12.1,50.4,NA,NA
"Vanuatu",3.7,53.9,8.4,109.8,116.1,34.6,0.2,1.4,3.2,43,NA
"Venezuela, RB",3.2,24.1,40,NA,940,0,NA,NA,18.1,81,100
"Vietnam",5.7,47.4,44.6,122.8,356.3,2.3,0.8,1.4,NA,96,NA
"Virgin Islands (U.S.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"West Bank and Gaza",NA,NA,NA,NA,NA,NA,NA,NA,NA,96,NA
"Yemen, Rep.",5.6,10.2,81,72,144.5,7.8,0.3,0.7,0.8,30.7,NA
"Zambia",4.5,38.3,12.1,56.5,175.2,42.5,0.1,0.9,1.5,11.3,NA
"Zimbabwe",9.4,46.5,21.2,93.9,185,25.4,0.1,1.2,1.6,38,NA
